A,B,C
SEHGAL MEDICAL AGENCIES,F10000,Cetaphil Rest Moist Ltn - 295ML
SUNEER S MECHERY,F10000,Cetaphil Rest Moist Ltn - 295ML
MEENAKSHI MEDICAL DISTRIBUTORS PVT. LTD.,F10000,Cetaphil Rest Moist Ltn - 295ML
SYAMGEETH K S,F30000,CETAPHIL MOIST LOTION - 250ML
YADAV KRISHNAN C,F30000,CETAPHIL MOIST LOTION - 250ML
M/S DERMIZ( DR.JULLY MUDANG),F30000,CETAPHIL MOIST LOTION - 250ML
VIKAS TYAGI,F30000,CETAPHIL MOIST LOTION - 250ML
KOLKATA RX S&B PISPL(HQ Cetaphil Rourkella / RX Bubneshwar),F30000,CETAPHIL MOIST LOTION - 250ML
SURESH PHARMACEUTICALS S&B ( HQ -TRICHY),F30000,CETAPHIL MOIST LOTION - 250ML
RAHUL DEY,F30000,CETAPHIL MOIST LOTION - 250ML
VILAS AMBHORE,F30000,CETAPHIL MOIST LOTION - 250ML
DR SHAKTI & DR IPSITA SKIN FERTILITY INSTITUTE (DR. IPSITA DEBATA),F30000,CETAPHIL MOIST LOTION - 250ML
RAINBOW PHARMACY (DR NIRMALYA KUMAR DAS),F30002,Cetaphil Moisturizing Cream 250 gm
WAJID BASHA,F30002,Cetaphil Moisturizing Cream 250 gm
CITY MEDICAL (DR PRADIP KUMAR BHAKAT),F30002,Cetaphil Moisturizing Cream 250 gm
RAHUL TRIPATHI,F30002,Cetaphil Moisturizing Cream 250 gm
VAISHNAVI MEDICAL STORES,F30002,Cetaphil Moisturizing Cream 250 gm
OPTIVAL HEALTH SOLUTIONS PVT. LTD- HYD,F30002,Cetaphil Moisturizing Cream 250 gm
KOUSHIK M S,F30003,CETAPHIL MOISTURISING LOTION 500 ml
RAJ SUMIT,F30003,CETAPHIL MOISTURISING LOTION 500 ml
OPTIVAL HEALTH SOLUTIONS PVT. LTD- BANGALORE,F30003,CETAPHIL MOISTURISING LOTION 500 ml
JANTA PHARMA,F30003,CETAPHIL MOISTURISING LOTION 500 ml
OPTIVAL HEALTH SOLUTIONS PVT. LTD-KOLKATA,F31000,Cetaphil Gentle Skin Cleanser - 125ml
VASAVI MEDICARE SOLUTIONS PVT LTD,F31000,Cetaphil Gentle Skin Cleanser - 125ml
PRAKASH PHARMA DISTRIBUTORS ,F31000,Cetaphil Gentle Skin Cleanser - 125ml
ROHIT SOLANKE,F31000,Cetaphil Gentle Skin Cleanser - 125ml
ELIAN TRADING COMPANY PVT LTD(S&B-CETAPHIL MUMBAI 2/RX WESTERN MUMBAI),F31000,Cetaphil Gentle Skin Cleanser - 125ml
RAJNIKANT KESHAVLAL AND SONS LLP,F31000,Cetaphil Gentle Skin Cleanser - 125ml
MAHENDRA & CO,F31000,Cetaphil Gentle Skin Cleanser - 125ml
SHAHBAAZ SHAKEEL,F31008,CETAPHIL GENTLE SKIN CLEANSER 500 ml
ARUN GOPAL V,F31008,CETAPHIL GENTLE SKIN CLEANSER 500 ml
CHHABRA PHARMACEUTICALS COMPANY,F31008,CETAPHIL GENTLE SKIN CLEANSER 500 ml
DRL PHARMACY A UNIT OF DEBLAKSHMI HEALTCARE PRIVATE LIMITED (DR.SOUMAJYOTI SARKAR),F31008,CETAPHIL GENTLE SKIN CLEANSER 500 ml
RUPESH S,F31008,CETAPHIL GENTLE SKIN CLEANSER 500 ml
DR ANJALI ROSE JOS - THALASSERY,F31009,Cetaphil Gentle Skin Cleanser 1000 ml
OPTIVAL HEALTH SOLUTIONS PVT LTD (VIJAYWADA),F31009,Cetaphil Gentle Skin Cleanser 1000 ml
JAYSHREE ENTERPRISES,F31009,Cetaphil Gentle Skin Cleanser 1000 ml
I ARUN,F31009,Cetaphil Gentle Skin Cleanser 1000 ml
MAA SHARDA PHARMACEUTICALS,F31009,Cetaphil Gentle Skin Cleanser 1000 ml
SURESH PHARMACEUTICALS S&B ( HQ -PONDICHERRY),F32000,Cetaphil Gentle  Skin Cleanser - 250ml
SRI GANAPATI MEDICAL AGENCIES,F32000,Cetaphil Gentle  Skin Cleanser - 250ml
ABHISHEK KUMBHKAR,F32000,Cetaphil Gentle  Skin Cleanser - 250ml
LAXAMI MEDICO,F32000,Cetaphil Gentle  Skin Cleanser - 250ml
NEW KIRAN STORE - RX,F33000,Cetaphil Baby Daily Lotion - 400ml
SURESH PHARMACEUTICALS S&B ( HQ -MADURAI),F32000,Cetaphil Gentle  Skin Cleanser - 250ml
L.L.J.K PHARMACEUTICALS,F32000,Cetaphil Gentle  Skin Cleanser - 250ml
MANOHAR AGENCIES,F32000,Cetaphil Gentle  Skin Cleanser - 250ml
SKINEEDS DRUG HOUSE,F32000,Cetaphil Gentle  Skin Cleanser - 250ml
M Y MEDICAL AGENCY,F33000,Cetaphil Baby Daily Lotion - 400ml
TRIMURTI SALES,F33000,Cetaphil Baby Daily Lotion - 400ml
JANANI MEDICAL AGENCIES -24 PARAGANAS,F33000,Cetaphil Baby Daily Lotion - 400ml
AKSHYA PHARMA,F33000,Cetaphil Baby Daily Lotion - 400ml
SAI KRISHNA AGENCIES,F33000,Cetaphil Baby Daily Lotion - 400ml
NEELAM AGENCIES,F33000,Cetaphil Baby Daily Lotion - 400ml
R K PHARMA DISTRIBUTORS,F33000,Cetaphil Baby Daily Lotion - 400ml
NYKAA E-RETAIL LIMITED ( BANGALORE),F33000,Cetaphil Baby Daily Lotion - 400ml
PARHLAD MEDICAL AGENCIES,F33000,Cetaphil Baby Daily Lotion - 400ml
DEV DISTRIBUTIONS LLP - Ecom,F33000,Cetaphil Baby Daily Lotion - 400ml
PRAGYA SALES,F34000,Cetaphil Baby Massage Oil - 200ml
PISPL-Kolkata(GIPL RX-S&B),F34000,Cetaphil Baby Massage Oil - 200ml
DEV DISTRIBUTIONS LLP- MT,F34000,Cetaphil Baby Massage Oil - 200ml
DR SWAPNALIPI MISHRA - BHUBANESWAR,F34000,Cetaphil Baby Massage Oil - 200ml
J.R.SACHDEVA MARKETING,F34000,Cetaphil Baby Massage Oil - 200ml
TRIVANI PHARMA,F34000,Cetaphil Baby Massage Oil - 200ml
AMARJEET MEDICAL HALL,F34000,Cetaphil Baby Massage Oil - 200ml
DR L SRUJANA - HYDERABAD,F34000,Cetaphil Baby Massage Oil - 200ml
KAY PHARMA,F34000,Cetaphil Baby Massage Oil - 200ml
ASHA DERMA CLINIC C/O DR ADITYA TRIPATHI,F35000,Cetaphil Baby Shampoo - 200ml
VENTURE HEALTH NEEDS,F35000,Cetaphil Baby Shampoo - 200ml
SHREE J. RAMESH & CO.,F35000,Cetaphil Baby Shampoo - 200ml
DR.MONIKA MITTAL,F35000,Cetaphil Baby Shampoo - 200ml
N. K. ENTERPRISE,F35000,Cetaphil Baby Shampoo - 200ml
RADA MEDISOLUTIONS PRIVATE LIMITED,F35000,Cetaphil Baby Shampoo - 200ml
SIVAMURUGAN MEDICAL AGENCY,F35000,Cetaphil Baby Shampoo - 200ml
NEW POOJA ENTERPRISES,F35000,Cetaphil Baby Shampoo - 200ml
SHREE JAGANNATH AGENCEY,F35000,Cetaphil Baby Shampoo - 200ml
SONALI ENTERPRISES,F35000,Cetaphil Baby Shampoo - 200ml
DR POOJA CHAUDHARY ,F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
SHANTI MEDICAL HALL( DR R S DEWEDI),F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
SRI CHENNAKESAVA MED AGEN,F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
GLYCO PHARMCEUTICALS,F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
P M PHARMACEUTICALS,F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
ARIHANT MARKETING,F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
DR GOWTHAM SIVASWAMY -  CHENNAI,F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
M/S ADITYA PHARMA,F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
PHARMA ASIA DISTRIBUTOR,F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
AMIT SINGH,F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
OMNIS LIFECARE LLP,F36000,Cetaphil Baby Gentle Wash & Shampoo - 230ml
AGRAWAL MEDICAL AGENCIES,F37001,Cetaphil Baby Diaper Cream 70 gm
Karnal Rx S&B PISPL(HQ-CHANDIGARH),F37001,Cetaphil Baby Diaper Cream 70 gm
CENTRUM PHARMA DISTRIBUTORS,F37001,Cetaphil Baby Diaper Cream 70 gm
ASHOK KUMAR,F37004,CETAPHIL BABY DIAPER CREAM 70GM NEW
MAHASAKTI ENTERPISE,F37004,CETAPHIL BABY DIAPER CREAM 70GM NEW
S FAZIL BASHA,F38000,CETAPHIL GENTLE FOAMING CLEANSER-236 ML
VIJAY KUMAR,Do not use F38000|950,CETAPHIL GENTLE FOAMING CLEANSER-236 ML
SRI GAJENDRA ENTERPRISES - BANGALORE,F38000,CETAPHIL GENTLE FOAMING CLEANSER-236 ML
KARNAL RX S&B PISPL(HQ-KARNAL),F38000,CETAPHIL GENTLE FOAMING CLEANSER-236 ML
HINDUSTAN DISTRIBUTORS,F41000,CETAPHIL DAILY EXFOLIATING CLEANSER-178 ML
DR MALCOM NORONHA - MANGALORE,F41000,CETAPHIL DAILY EXFOLIATING CLEANSER-178 ML
INNLIFE DISTRIBUTORS (I) PVT. LTD,F41000,CETAPHIL DAILY EXFOLIATING CLEANSER-178 ML
NATIONAL PHARMA,F41000,CETAPHIL DAILY EXFOLIATING CLEANSER-178 ML
KOHINOOR ENTERPRISES NX,F41000,CETAPHIL DAILY EXFOLIATING CLEANSER-178 ML
CHANDAN PHARMACEUTICALS,F39000,Cetaphil Baby Wash & Shampoo with Organic Calendula-399ML
ASHISH AGGRAWAL,F39000,Cetaphil Baby Wash & Shampoo with Organic Calendula-399ML
SUNIL GUPTA,F42000,CETAPHIL SUN SPF 30 GEL 100 ML
RADHE KRISHNA TRADERS,F42000,CETAPHIL SUN SPF 30 GEL 100 ML
NAMRATA AGENCIES PVT. LTD.,F42001,CETAPHIL SUN SPF 50 + LIGHT GEL 50ML
DR KULDIP KASWALA,F42001,CETAPHIL SUN SPF 50 + LIGHT GEL 50ML
SHAKTI MEDICAL AGENCIES,F42002,CETAPHIL SUN KIDS SPF 30 LOTION 100ML
KC ENTERPRISES,F42003,CETAPHIL SUN KIDS SPF 50 LOTION 150 Ml
PREM DISTRIBUTROS,F42003,CETAPHIL SUN KIDS SPF 50 LOTION 150 Ml
SKINACEA MEDICAL,F40000,Cetaphil Baby Daily Lotion with Organic Calendula-399ML
SINGHAL ENTERPRISES,F43000,Cetaphil BHR Brightening Day Protection Cream 50GM
AGARWAL TRADERS,F43000,Cetaphil BHR Brightening Day Protection Cream 50GM
SLV BIOMEDICOSE,F43001,Cetaphil BHR Brightening Night Comfort Cream 50GM
VINOD KUMAR SHARMA,F43001,Cetaphil BHR Brightening Night Comfort Cream 50GM
DR REENY THOMAS,F43003,Cetaphil BHR Brightness Reveal Creamy Cleanser 100GM
NYKAA E-RETAIL LIMITED ( Kolar),F43003,Cetaphil BHR Brightness Reveal Creamy Cleanser 100GM
NAGPUR RX S&B PISPL(HQ-Nagpur),F43004,Cetaphil BHR Brightness Refresh Toner 150ML
BISWADEEP MAJUMDAR,F43004,Cetaphil BHR Brightness Refresh Toner 150ML
PAL DISTRIBUTORS,F43002,Cetaphil BHR Brightness Lotion 245ML
DEVRAJ SINGH TANWAR,F43002,Cetaphil BHR Brightness Lotion 245ML
VIJAY PHARMACY,F44003,Cetaphil Pro Oil Control Foam Wash - 236 ml
KHANDELWAL ENTERPRISES,F44003,Cetaphil Pro Oil Control Foam Wash - 236 ml
SWARAJYA PHARMA,F44005,Cetaphil Pro Oil Control Purifying Clay Mask - 85 gm
KOUSHIK GHOSH,F44002,Cetaphil Pro Dryness Control Face Moisturising Cream- 50 ml
MOHD MOZZAMUL HAQUE,F44001,Cetaphil Pro Dryness Control Night Repair Hand Cream - 50 ml
MRINMOY KANTI CHAKRABORTY,F44000,Cetaphil Pro Dryness Control Day Protect Hand Cream - 50 ml
PRAGESH RAI,F44004,Cetaphil Pro Oil Control Moisturising Lotion -  120 ml
PRASAD NASKARE,F40001,CETAPHIL BABY DAILY LOTION WITH ORGANIC CALENDULA-400 ML
PRATEEK SINGH,F40001,CETAPHIL BABY DAILY LOTION WITH ORGANIC CALENDULA-400 ML
RUSHIKESH VISHWANATHRAO SHINDE,F40001,CETAPHIL BABY DAILY LOTION WITH ORGANIC CALENDULA-400 ML
SABYASACHI BHOWMICK,F39002,Cetaphil Baby Advanced Protection Cream - 85 Gm
SACHIN BHARDWAJ,F39002,Cetaphil Baby Advanced Protection Cream - 85 Gm
APPLE CHEMIST AND DRUGGIST,F39001,CETAPHIL BABY WASH & SHAMPOO WITH ORGANIC CALENDULA-400ML
DR AKSHAYA - Kolar,F39001,CETAPHIL BABY WASH & SHAMPOO WITH ORGANIC CALENDULA-400ML
RADHE KRISHNA PHARMA,F39001,CETAPHIL BABY WASH & SHAMPOO WITH ORGANIC CALENDULA-400ML
LAXMI CHEMIST,F45000,CETAPHIL BABY WIPES ( 40 WIPES)
SHUBAM KARMAKAR,F45001,CETAPHIL BABY WIPES ( 80 WIPES)
SANTOSH KUMAR B,F46000,Cetaphil Pro Urea 10% Lotion -200ml
YOGIRAM PHARMA,F46000,Cetaphil Pro Urea 10% Lotion -200ml
SAURABH SHRIVASTAVA,F46001,Cetaphil Pro Urea 4% Lotion -200ml
REDCURE INDIAN PHARMA PRIVATE LIMITED,F46001,Cetaphil Pro Urea 4% Lotion -200ml
BALAJI CHEMIST & DRUGGIST,F42004,CETAPHIL SUN SPF 50+ LIGHT - GEL
PARAG MEDICAL AGENCIES-MHOW,F42004,CETAPHIL SUN SPF 50+ LIGHT - GEL
AMARJEET MED HALL,F47000,CETAPHIL BABY GENTLE WASH 230 ML
PARAG MEDICAL AGENCIES,F47000,CETAPHIL BABY GENTLE WASH 230 ML
KARNAL-NSHIPL-RX-ND-PISPL(S&B),F47001,Cetaphil Baby Moisturising Bath & Wash
BIYANI ENTERPRISES,F47001,Cetaphil Baby Moisturising Bath & Wash
CHITRA ENTERPRISES,F44007,CETAPHIL PRO DRYNESS CONTROL NIGHT REPAIR HAND CREAM 50ML TUBE
R M SAHANI (KOL) PRIVATE LTD,F44008,CETAPHIL PRO DRYNESS CONTROL FACE MOISTURIZING CREAM 50ML TUBE
DNYANGANGA ENTERPRISES,F44006,CETAPHIL PRO DRYNESS CONTROL DAY PROTECT HAND CREAM 50ML TUBE
JYOTI DISTRIBUTORS,F47002,CETAPHIL GENTLE SKIN CLEANSER 125ML NEW
NEERAJ SHARMA,F47002,CETAPHIL GENTLE SKIN CLEANSER 125ML NEW
SUPRABHAT PHARMACEUTICALS,F47002,CETAPHIL GENTLE SKIN CLEANSER 125ML NEW
MUKTA DISTRIBUTOR,F47003,CETAPHIL GENTLE SKIN CLEANSER 500ML NE
SKIN LIFE CHEMIST (S&B),F47003,CETAPHIL GENTLE SKIN CLEANSER 500ML NE
SHIVA MEDICINE CENTRE,F47003,CETAPHIL GENTLE SKIN CLEANSER 500ML NE
ELIAN TRADING COMPANY PVT LTD(S&B-CETAPHIL MUMBAI 5/RX CENTRAL MUMBAI),F47004,CETAPHIL GENTLE SKIN CLEANSER 1000ML NEW
ALOK KUMAR SINGH,F47004,CETAPHIL GENTLE SKIN CLEANSER 1000ML NEW
CITY ENTERPRISES,F47004,CETAPHIL GENTLE SKIN CLEANSER 1000ML NEW
REMYA NAIR,F47004,CETAPHIL GENTLE SKIN CLEANSER 1000ML NEW
DR L SORNAKUMAR - COIMBATORE,F47004,CETAPHIL GENTLE SKIN CLEANSER 1000ML NEW
DR KUSHALAPPA - BANGALORE,F47005,CETAPHIL GENTLE SKIN CLEANSER 250ML NEW
GLOBAL HEALTH CARE,F47005,CETAPHIL GENTLE SKIN CLEANSER 250ML NEW
DR ANUP PALIWAL - UDAIPUR ,F47005,CETAPHIL GENTLE SKIN CLEANSER 250ML NEW
SRI VIGNESH PHARMA,F47005,CETAPHIL GENTLE SKIN CLEANSER 250ML NEW
MYSORE CHEMICAL BIOLOGICAL AGENCY,F47006,CETAPHIL DAM 30GM NEW
MITUL KUMAR BHANUSHALI,F47006,CETAPHIL DAM 30GM NEW
EVERSHINE PHARMACEUTICALS DISTRIBUTORS PVT. LTD.,F47007,CETAPHIL DAM 100GM NEW
NEELAY,F47007,CETAPHIL DAM 100GM NEW
DR NAMITA NARKHEDE - NASIK,F47007,CETAPHIL DAM 100GM NEW
SHANTANU KUMAR DAS,F47007,CETAPHIL DAM 100GM NEW
SK PHARMCY,F47008,CETAPHIL MOISTURISING LOTION 250ML NEW
FIRST CHOICE,F47008,CETAPHIL MOISTURISING LOTION 250ML NEW
GURUDATTA PHARMA,F47008,CETAPHIL MOISTURISING LOTION 250ML NEW
COCHIN RX S&B PISPL(HQ CETAPHIL/ RX  KOTTAYAM),F47008,CETAPHIL MOISTURISING LOTION 250ML NEW
SAI SARAVANA PHARMACEUTICALS,F47009,CETAPHIL MOISTURISING CREAM 250 GM NEW
SHANTHINATH AGENCIES,F47009,CETAPHIL MOISTURISING CREAM 250 GM NEW
KOMMINENI RAGHAVENDRA RAO,F47009,CETAPHIL MOISTURISING CREAM 250 GM NEW
VIBES HEALTHCARE LIMITED - GIPL RX-S&B,F47009,CETAPHIL MOISTURISING CREAM 250 GM NEW
BAPPI SAHA,F47010,CETAPHIL MOISTURISING CREAM 80 GM NEW
PREM CHETRRY,F47010,CETAPHIL MOISTURISING CREAM 80 GM NEW
RAMIT BASAK,F47010,CETAPHIL MOISTURISING CREAM 80 GM NEW
ROSHAN TAMHANKAR,F47010,CETAPHIL MOISTURISING CREAM 80 GM NEW
SHAHBAN ALI,F47011,CETAPHIL MOISTURISING LOTION 100ML NEW
KUMAR BROTHERS PHARMA PRIVATE LIMITED,F47011,CETAPHIL MOISTURISING LOTION 100ML NEW
DR KEERTHANA REDDY - BANGALORE,F47011,CETAPHIL MOISTURISING LOTION 100ML NEW
ZAM ZAM MEDICALS (DR S R BALAKRISHNAN NAIR),F47011,CETAPHIL MOISTURISING LOTION 100ML NEW
MD AZHARUDDIN,F47012,CETAPHIL MOISTURISING LOTION 500ML NEW
AMIR SOHEL,F47012,CETAPHIL MOISTURISING LOTION 500ML NEW
SHUBHAM SINGH SOLANKI,F47012,CETAPHIL MOISTURISING LOTION 500ML NEW
KYAL AGENCIES,F47013,CETAPHIL OILY SKIN CLEANSER 125ML NEW
SUNIL KUMAR GALDRX,F47013,CETAPHIL OILY SKIN CLEANSER 125ML NEW
Dr SEMEENA HABEEB,F47013,CETAPHIL OILY SKIN CLEANSER 125ML NEW
YOGESH SAHU,F47013,CETAPHIL OILY SKIN CLEANSER 125ML NEW
DR KUNAL BHANDARI - MUMBAI,F44009,CETAPHIL PRO OIL CONTROL MOISTURISING LOT 120ML NEW
VENNELA REDDY M - Hyderabad,F49002,CETAPHIL OPTIMAL HYDRATION DAILY CREAM 50GM
SURESH MEDICAL AGENCY,F49002,CETAPHIL OPTIMAL HYDRATION DAILY CREAM 50GM
A.B. PHARMA,F49002,CETAPHIL OPTIMAL HYDRATION DAILY CREAM 50GM
DR KUMUD AGARWAL  - SIBSAGAR,F49000,CETAPHIL OPTIMAL HYDRATION 48H ACTIVATION SERUM 30ML
JAY DISTRIBUTORS,F49011,CETAPHIL BRIGHT HEALTHY RADIANCE GENTLE RENEWING CLEANSER 100ML
NEW GOOD WILL ENTERPRISES,F49003,CETAPHIL OPTIMAL HYDRATION BODY SPRAY MOISTURIZER 207ML
DR ANIL GANJOO - DELHI,F49004,CETAPHIL OPTIMAL HYDRATION REPLENISHING NIGHT CREAM 50GM
MAYUR MEDICAL AGENCY PVT LTD,F49001,CETAPHIL OPTIMAL HYDRATION REPLENISHING LOTION 237ML
DUTTA DISTRIBUTORS-BEHALA,F49012,CETAPHIL HYDRATING FOAMING CREAM CLEANSER 236ML
SHIV DAYAL ROSHAN LAL,F49012,CETAPHIL HYDRATING FOAMING CREAM CLEANSER 236ML
NETAJI MEDICAL STORES,F49010,CETAPHIL BRIGHT HEALTHY RADIANCE PERFECTING SERUM 30ML
M/S YAHOO FABS,F47026,CETAPHIL GENTLE SKIN CLEANSER 25ML
ASHISH STORES,F49013,CETAPHIL SOOTHING FOAM WASH -200 ML
REGAL AGENCIES,F47016,CETAPHIL GENTLE SKIN CLEANSER 60ML
DR AJAY PANDEY - BILASPUR,F47018,CETAPHIL MOISTURISING LOTION 60ML
KUNDAN DISTRIBUTORS PRIVATE LIMITED,F43006,CETAPHIL BHR BRIGHTENING NIGHT COMFORT CREAM - 50GM
HT TRADERS,F47027,CETAPHIL MOISTURISING LOTION 25ML
ZUBAIR KHAN,F47019,CETAPHIL OILY SKIN CLEANSER 60ML
PARTH PATEL,F47020,CETAPHIL MOISTURISING CREAM 450 GM
PRIYA AGENCIES,F47021,CETAPHIL OILY SKIN CLEANSER 250 ML
MANISH AGENCIES,F43005,CETAPHIL BHR BRIGHTENING DAY PROTECTION CREAM - 50GM
BHAWANI MEDICAL,F47028,CETAPHIL OILY SKIN CLEANSER 25ML
SOHAIL AHMED SHAKEEL ANSARI,F42005,CETAPHIL SUN SPF 30 GEL - 100ML
GANPATI MEDICALS,F42005,CETAPHIL SUN SPF 30 GEL - 100ML
NAVNEET ENTERPRISES,F42006,CETAPHIL SUN KID SPF 50 LOTION - 150ML
SANJIB RANA,F42006,CETAPHIL SUN KID SPF 50 LOTION - 150ML
N G SALES,,
PHARMA WORLD,,
M/S MAA MAHAMAYA MEDICAL,,
SRI SRI MEDICALS,,
RAMESH TALEKAR,,
NEW SINGH MEDICAL AGENCIES - RX,,
APOLLO HEALTHCO LIMITED,,
VERA LIFE CARE SERVICES PRIVATED LIMITED,,
SIDANA MEDICOSE,,
SPECIALITY SURGICALS,,
MAMTA MEDICARE,,
Harish G S,,
SVIMMS NO2 MEDICALS & FANCY,,
M.G.DISTRIBUTORS,,
DR. LIPSA PADHI - BHUBANESWAR,,
DR IPSITA DEBATA - BARGARH,,
R .A. AGENCIES-LUCKNOW -HQ- SELF- MEDICATION,,
SALEM AGENCIES,,
UNITED ENTERPRISES-Galderma,,
MAA SANTOSHI ENTERPRISES,,
UTLA ESWAR RAO-024581,,
DR M.S  KRISHNA MEERA - COIMBATORE,,
KOLKATA RX S&B PISPL(HQ CETAPHIL / RX  BHUBNESHWAR),,
VASU MEDICAL AGENCIES-Galderma India Pvt. Ltd.,,
YASHI SURGICAL AND CHILDREN HOSPITAL (Dr. SHASHI BHUSHAN PRASAD),,
DURGA PHARMA DISTRIBUTORS,,
FOREVER COSMODERMA CENTRE (DR PREETHA UNNI),,
AB ROYS PHARMACEUTICALS PVT.LTD.,,
PARAS DISTRIBUTORS - CHENNAI,,
HAWELIA PHARMACY(DR. DINESH HAWELIA),,
SHIV SHAKTI DRUG STORE,,
AK AGENCIES,,
ARATI MEDICAL AGENCY,,
VICKY BHIMRAOJI GIRHE-073257,,
DR JANANI ARUNKUMAR - CHENNAI,,
DRUGS POINT,,
MOHIT KUMAR,,
DR ASHISH SINGH,,
RAMESH MEDICAL STORES,,
NIDHI PHARMA(GIPL Rx ND),,
LALIT MEDICAL AGENCY,,
ABHISHEK & CO.,,
LUCKNOW RX S&B PISPL(HQ-AGRA),,
SEN ENTERPRISES,,
M/S RADIANCE MEDICAL  STORE (DR SATYARTH PRAKASH),,
VINAY ENTERPRISES,,
LUCKNOW RX S&B PISPL(HQ-ALLAHABAD),,
GAYATRI ENTERPRISE,,
TOLANI PHARMACY,,
R.K.ENTERPRISE,,
SUNIL KUMAR SRIVASTAVA,,
DEEP ENTERPRISES,,
AVENUE PHARMA DISTRIBUTORS PVT LTD-URBAN,,
AMAL KUMAR,,
SIDDARTHA MEDICAL AGENCIES,,
SRI RATHNA AGENCIES,,
M/S J.K PHARMACEUTICALS,,
AJIT PHARMATICS- NAGPUR,,
SRI BALAJI MEDICAL DISTRIBUTORS,,
UMMADI RAJENDRA KUMAR,,
DR DIVYANSHU SRIVASTAVA,,
RITU MONI MAHANTA-018516,,
S.V.L.ENTERPRIESES,,
LAKHDATAR ENTERPRISE,,
RIDDHI PHARMA,,
D.C. AGENCIES PVT LTD,,
MAYA MEDICAL HALL,,
S.P.D.MEDICAL AGENCIES,,
CITY PHARAMCEUTICALS,,
PANKAJ AGENCIES,,
J D ENTERPRISES,,
DROGARIA ANANTA,,
SHREE AMMAN PHARMA INDIA PRIVATE LIMITED - (RX ND),,
PRAKASH RANDIVE,,
M.N.TRADERS,,
A.PHARMA,,
J M AGENCIES,,
SAMEER GAWADE,,
AIRA PHARMACY,,
SHYAM MEDICAL AGENCIES,,
SWAMY WELL PHARMA PRIVATE LIMITED,,
MEDI JUNCTION,,
PISPL-Hyderabad(Glowderma)Do Not Use,,
DUA MEDICOS (KOLKATA),,
NEW MEDICINE TRADERS,,
SATNAM SONS,,
MEDIWAYS AGENCIES,,
RAVINDER TIWARI,,
DRUG CENTRE,,
SUPRABHAT PHARMACEUTICALS PRIVATE LIMITED,,
DR BHUPINDER KAUR - PATIALA,,
DAS BROTHERS AGENCY DEPTT,,
ABHISHEK PARMAR,,
SUNDEEP PHARMA DISTRIBUTORS,,
ATOR HEALTH CARE PVT LTD,,
DR JASHNY - CHENNAI,,
ANXU TRADING COMPANY,,
SURESH PHARMACEUTICALS S&B ( HQ - TIRUNELVELI),,
SAHA DRUG DISTRIBUTORS,,
BATRA DRUG AGENCIES,,
BIOGEN THERAPEUTICS,,
PRITI ENTERPRISE,,
RUDRA ENTERPRISES - RX,,
NU SRI SHYAM PHARMACEUTICALS PVT LTD,,
PHI COSMETIC CLINIC LLP-Galderma India Pvt. Ltd.,,
SUNIL KUMAR SAHOO,,
SAKHI ANIKET RANE,,
RAJ DISTRIBUTORS,,
SHARMA PHARMA,,
QUALITY MEDICINES,,
DEBARATI ENTERPRISES,,
DR.HAREEZ.M.S,,
SHUBHAM DAS,,
KAMDAR MEDICOSE,,
SHREE SHUBHLABH SALES,,
KUMARA RAVINDRA MEDICALS,,
DR RHEA SHETTY,,
VINOTH RAJ V,,
SAMA VASIM RAIS (GALDERMA),,
KAUL AGENCIES-Galderma,,
AVADH MEDICAL AGENCIES - RX,,
VIJAY MEDICOS,,
SREE DURGA PHARMACY (AGENCY),,
KRISHNA M SHUKLA,,
SAI SARATH,,
SRI NAGAPPA AGENCIES - (RX ND),,
PENTAWIS INNOVATIONS PVT LTD - DELHI,,
RAJU KUMAR,,
GANPATI ENTERPRISES,,
P.K.DISTRIBUTORS,,
M/S JAI MATA DISTRIBUTORS,,
A. R. ENTERPRISES,,
VINEET JAIN,,
BATRA DISTRIBUTORS,,
SANTOSH BHOR,,
ARUNKUMAR K,,
ASWIN PRATHAPAN,,
STAR MEDICOS,,
ORBIT DISTRIBUTORS,,
AMIT SONI,,
POTHINA DURGARAO,,
SUNIL G NAIK,,
R. A. TRADERS,,
Karnal Rx S&B PISPL(HQ-JALANDHAR),,
RIDDHI SIDDHI,,
JANTA MEDICAL STORE,,
MANGLAM MARKETING,,
SWAPNA PHARMACEUTICALS,,
SIVAMURUGAN MEDICAL AGENCY S&B - ERODE,,
FACE 360 ( DR VISHNU MAHESH ),,
SHREE AMBICA MEDICALS-Galderma,,
GIRISH CHAWLA,,
AMRUT MEDICAL AGENCY,,
SURESH PHARMACEUTICALS PRIVATE LIMITED,,
AMIT PRITHVIRAJ,,
SAIK MIR,,
DR S GROVER - DELHI,,
DR ARCHITA SAHOO,,
JAMUNA DISTRIBUTORS,,
JAYDIP BHAVANI,,
